Unnamed: 0,data_paper_doi,research_paper_doi,data_paper_url,research_paper_url,research_paper_file_url,data_paper_has_file,research_paper_has_file,source,all_author_names_data_paper,all_author_names_research_paper,matching_authors,non_matching_authors,proportion_of_authors_found,data_paper_publication_date,research_paper_publication_date,days_between_publications
0,10.5334/johd.1,10.1080/03071022.2014.975943,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.1,https://www.tandfonline.com/doi/full/10.1080/03071022.2014.975943,http://sro.sussex.ac.uk/id/eprint/51704/1/RSHI_A_9759431.pdf,TRUE,TRUE,original-johd,"Adam Crymble, Louise Falcini, Tim Hitchcock","Tim Hitchcock, Adam Crymble, Louise Falcini","Adam Crymble, Louise Falcini, Tim Hitchcock",,1.0,2015-09-29,2014-12-13,290
1,10.5334/johd.1,10.1080/01615440.2015.1007194,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.1,https://www.tandfonline.com/doi/full/10.1080/01615440.2015.1007194,https://discovery.ucl.ac.uk/10105667/1/Irish%20Surnames%20in%20London%202014-repositoryVersion.pdf,TRUE,TRUE,original-johd,"Adam Crymble, Louise Falcini, Tim Hitchcock",Adam Crymble,Adam Crymble,"Louise Falcini, Tim Hitchcock",0.3333333333333330,2015-09-29,2015-07-16,75
2,10.5334/johd.4,10.1353/shq.2015.0000,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.4,https://academic.oup.com/sq/article/66/1/1-28/5059328,,TRUE,FALSE,original-johd,"Laura Estill, Dominic Klyve","Laura Estill, Dominic Klyve, Kate Bridal","Laura Estill, Dominic Klyve",,1.0,2016-11-25,2015-04-05,600
3,10.5334/johd.4,10.22230/src.2014v5n4a187,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.4,https://src-online.ca/index.php/src/article/view/187,https://doi.org/10.22230/src.2014v5n4a187,TRUE,TRUE,original-johd,"Laura Estill, Dominic Klyve",Laura Estill,Laura Estill,Dominic Klyve,0.5,2016-11-25,2017-03-21,116
4,10.5334/johd.6,10.16995/olh.82,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.6,https://olh.openlibhums.org/article/id/4426/,https://doi.org/10.16995/olh.82,TRUE,TRUE,original-johd,Martin Paul Eve,Martin Paul Eve,Martin Paul Eve,,1.0,2016-11-25,2016-08-10,107
5,10.5334/johd.8,10.1080/13555502.2017.1301178,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.8,https://academic.oup.com/jvc/article/22/2/224-231/4609438,https://academic.oup.com/jvc/article-pdf/22/2/224/22332321/jvcult0224.pdf,TRUE,TRUE,original-johd,Melodee Beals,Melodee Beals,Melodee Beals,,1.0,2017-04-05,2017-03-21,15
6,10.5334/johd.9,10.3389/frma.2018.00021,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.9,https://www.frontiersin.org/articles/10.3389/frma.2018.00021/full,https://www.frontiersin.org/articles/10.3389/frma.2018.00021/pdf,TRUE,TRUE,original-johd,"Giovanni Colavizza, Matteo Romanello","Danny Rodrigues Alves, Giovanni Colavizza, Frédé́ric Kaplan",Giovanni Colavizza,Matteo Romanello,0.5,2017-11-21,2018-07-13,234
7,10.5334/johd.11,10.4324/9781315268323-10,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.11,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315268323-10/dative-alternation-revisited-gard-jenset-barbara-mcgillivray-michael-rundell,,TRUE,FALSE,original-johd,"Gard B. Jenset, Barbara McGillivray","Gard B. Jenset, Barbara McGillivray, Michael Rundell","Gard B. Jenset, Barbara McGillivray",,1.0,2019-08-22,2018-11-15,280
8,10.5334/johd.13,10.1093/llc/fqz070,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.13,https://academic.oup.com/dsh/article/35/4/812/5606771,https://academic.oup.com/dsh/article-pdf/35/4/812/34084883/fqz070.pdf,TRUE,TRUE,original-johd,Vanessa B. Gorman,Robert J. Gorman,,Vanessa B. Gorman,0.0,2020-03-26,2019-10-09,169
9,10.5334/johd.13,10.1515/opli-2016-0026,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.13,https://www.degruyter.com/document/doi/10.1515/opli-2016-0026/html,https://doi.org/10.1515/opli-2016-0026,TRUE,TRUE,original-johd,Vanessa B. Gorman,"Vanessa B. Gorman, Robert J. Gorman",Vanessa B. Gorman,,1.0,2020-03-26,2016-11-02,1240
10,10.5334/johd.12,10.12688/openreseurope.13843.3,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.12,https://open-research-europe.ec.europa.eu/articles/1-79/v3,https://doi.org/10.12688/openreseurope.13843.3,TRUE,TRUE,original-johd,"Mei-Shin Wu, Nathanael E. Schweikhard, Timotheus Adrianus Bodt, Nathan W. Hill, Johann‐Mattis List","Johann‐Mattis List, Robert Forkel",Johann‐Mattis List,"Mei-Shin Wu, Nathanael E. Schweikhard, Timotheus Adrianus Bodt, Nathan W. Hill",0.2,2020-05-22,2022-03-23,670
11,10.5334/johd.12,10.1075/dia.20009.bod,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.12,https://www.jbe-platform.com/content/journals/10.1075/dia.20009.bod,https://eprints.soas.ac.uk/34575/2/dia.20009.bod.pdf,TRUE,TRUE,original-johd,"Mei-Shin Wu, Nathanael E. Schweikhard, Timotheus Adrianus Bodt, Nathan W. Hill, Johann‐Mattis List","Timotheus Adrianus Bodt, Johann‐Mattis List","Timotheus Adrianus Bodt, Johann‐Mattis List","Mei-Shin Wu, Nathanael E. Schweikhard, Nathan W. Hill",0.4,2020-05-22,2021-03-15,297
12,10.5334/johd.14,10.1002/asi.24499,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.14,https://onlinelibrary.wiley.com/doi/10.1002/asi.24499,https://helda.helsinki.fi/bitstream/10138/338558/1/Open_data.pdf,TRUE,TRUE,original-johd,"Toby Burrows, Doug Emery, Mitch Fraas, Eero Hyvönen, Esko Ikkala, Mikko Koho, David Lewis, A. J. W. Morrison, Kevin Page, Lynn Ransom, Emma Thomson, Jouni Tuominen, Athanasios Velios, Hanno Wijsman","Mikko Koho, Toby Burrows, Eero Hyvönen, Esko Ikkala, Kevin Page, Lynn Ransom, Jouni Tuominen, Doug Emery, Mitch Fraas, Benjamin Heller, David Lewis, A. J. W. Morrison, Guillaume Porte, Emma Thomson, Athanasios Velios, Hanno Wijsman","Toby Burrows, Doug Emery, Mitch Fraas, Eero Hyvönen, Esko Ikkala, Mikko Koho, A. J. W. Morrison, Lynn Ransom, Emma Thomson, Jouni Tuominen, Athanasios Velios, Hanno Wijsman","David Lewis, Kevin Page",0.8571428571428570,2020-06-11,2021-05-26,349
13,10.5334/johd.14,10.1353/mns.2018.0012,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.14,https://muse.jhu.edu/article/693321,https://research.aalto.fi/files/64503054/SCI_Tamper_Using_Biographical_Texts_as_Linked_Data.2018.pdf,TRUE,TRUE,original-johd,"Toby Burrows, Doug Emery, Mitch Fraas, Eero Hyvönen, Esko Ikkala, Mikko Koho, David Lewis, A. J. W. Morrison, Kevin Page, Lynn Ransom, Emma Thomson, Jouni Tuominen, Athanasios Velios, Hanno Wijsman","Toby Burrows, Eero Hyvönen, Lynn Ransom, Hanno Wijsman","Toby Burrows, Eero Hyvönen, Lynn Ransom, Hanno Wijsman","Doug Emery, Mitch Fraas, Esko Ikkala, Mikko Koho, David Lewis, A. J. W. Morrison, Kevin Page, Emma Thomson, Jouni Tuominen, Athanasios Velios",0.2857142857142860,2020-06-11,2018-05-13,760
14,10.5334/johd.17,10.3390/informatics7040044,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.17,https://www.mdpi.com/2227-9709/7/4/44,https://www.mdpi.com/2227-9709/7/4/44/pdf,TRUE,TRUE,original-johd,Marton Ribary,"Marton Ribary, Barbara McGillivray",Marton Ribary,,1.0,2020-08-05,2020-10-15,71
15,10.5334/johd.21,10.1371/journal.pone.0236166,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.21,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0236166,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0236166&type=printable,TRUE,TRUE,original-johd,"S. Scott Graham, Zoltan P. Majdik, Dave Clark","S. Scott Graham, Zoltan P. Majdik, Dave Clark, Molly M. Kessler, Tristin Brynn Hooker","S. Scott Graham, Zoltan P. Majdik, Dave Clark",,1.0,2020-11-19,2020-07-24,118
