title,doi,journal
"The educational use of social networking sites among medical and health sciences students: a cross campus interventional study",https://doi.org/10.1186/s12909-022-03569-3,"BMC Medical Education"
"“Even though they insult us, the delivery they give us is the greatest thing”: a qualitative study contextualizing women’s experiences with facility-based maternal health care in Ethiopia",https://doi.org/10.1186/s12884-022-04381-z,"BMC Pregnancy and Childbirth"
"The precedence effect in spatial hearing manifests in cortical neural population responses",https://doi.org/10.1186/s12915-022-01228-z,"BMC Biology"
"Text messaging interventions to support smoking cessation among hospitalized patients in Brazil: a randomized comparative effectiveness clinical trial",https://doi.org/10.1186/s13104-022-06002-6,"BMC Research Notes"
"Steroid-mediated liver steatosis is CD1d-dependent, while steroid-induced liver necrosis, inflammation, and metabolic changes are CD1d-independent",https://doi.org/10.1186/s12876-022-02242-9,"BMC Gastroenterology"
"Group Clinical Supervision for midwives and burnout: a cluster randomized controlled trial",https://doi.org/10.1186/s12884-022-04657-4,"BMC Pregnancy and Childbirth"
"Does current ovarian endometrioma increase the time for DOR patients to reach live birth in IVF?",https://doi.org/10.1186/s12884-022-04670-7,"BMC Pregnancy and Childbirth"
"The difference between patients with nephrotic syndrome and nephrotic-range proteinuria in IgA nephropathy: a propensity score matched cohort study",https://doi.org/10.1186/s12882-022-02799-3,"BMC Nephrology"
"Multiple events case–control study in a prospective cohort to identify systemic, cellular, and molecular biomarkers of obesity-induced accelerated aging in 30-years-olds: the ObAGE study protocol",https://doi.org/10.1186/s12877-022-03032-4,"BMC Geriatrics"
"PyToxo: a Python tool for calculating penetrance tables of high-order epistasis models",https://doi.org/10.1186/s12859-022-04645-7,"BMC Bioinformatics"
"Relapsed boyhood tibia polymicrobial osteomyelitis linked to dermatophytosis: a case report",https://doi.org/10.1186/s12893-022-01600-4,"BMC Surgery"
"Cooled radiofrequency ablation of the genicular nerves for chronic pain due to osteoarthritis of the knee: a cost-effectiveness analysis compared with intra-articular hyaluronan injections based on trial data",https://doi.org/10.1186/s12891-022-05445-z,"BMC Musculoskeletal Disorders"
"China industrial environmental database 1998–2015",https://doi.org/10.1038/s41597-022-01362-x,"Scientific Data"
"The role of sentinel node tumor burden in modeling the prognosis of melanoma patients with positive sentinel node biopsy: an Italian melanoma intergroup study (N = 2,086)",https://doi.org/10.1186/s12885-022-09705-y,"BMC Cancer"
"The effect of repetition- and scenario-based repetition strategies on anatomy course achievement, classroom engagement and online learning attitude",https://doi.org/10.1186/s12909-022-03564-8,"BMC Medical Education"
"What can we learn about the psychiatric diagnostic categories by analysing patients' lived experiences with Machine-Learning?",https://doi.org/10.1186/s12888-022-03984-2,"BMC Psychiatry"
"Predicting the pathogenicity of bacterial genomes using widely spread protein families",https://doi.org/10.1186/s12859-022-04777-w,"BMC Bioinformatics"
"Postoperative radiotherapy may not be necessary for locally advanced head and neck squamous cell carcinoma: a case-match multicentre study",https://doi.org/10.1186/s12903-022-02288-x,"BMC Oral Health"
"Using machine learning to predict subsequent events after EMS non-conveyance decisions",https://doi.org/10.1186/s12911-022-01901-x,"BMC Medical Informatics and Decision Making"
"Overdominant expression of related genes of ion homeostasis improves K+ content advantage in hybrid tobacco leaves",https://doi.org/10.1186/s12870-022-03719-1,"BMC Plant Biology"
"Observational data from uncrewed systems over Southern Great Plains",https://doi.org/10.5194/essd-14-3423-2022,"Earth system science data"
"﻿Re-circumscription of the mimosoid genus Entada including new combinations for all species of the phylogenetically nested Elephantorrhiza (Leguminosae, Caesalpinioideae, mimosoid clade)",https://doi.org/10.3897/phytokeys.205.76790,"PhytoKeys"
"Comparison of widefield swept-source optical coherence tomography angiography with ultra-widefield fluorescein angiography for the evaluation of lesions in retinal vein occlusion",https://doi.org/10.1186/s12886-022-02642-1,"BMC Ophthalmology"
"Building the European Social Innovation Database with Natural Language Processing and Machine Learning",https://doi.org/10.1038/s41597-022-01818-0,"Scientific Data"
"Vessel wall imaging features of Moyamoya disease in a North American population: patterns of negative remodelling, contrast enhancement, wall thickening, and stenosis",https://doi.org/10.1186/s12880-022-00930-2,"BMC Medical Imaging"
"Gut microbiota analyses of Saudi populations for type 2 diabetes-related phenotypes reveals significant association",https://doi.org/10.1186/s12866-022-02714-8,"BMC Microbiology"
"Using entropy-driven amplifier circuit response to build nonlinear model under the influence of Lévy jump",https://doi.org/10.1186/s12859-021-04331-0,"BMC Bioinformatics"
"Drug therapy-related problem management in Nigeria community pharmacy – process evaluation with simulated patient",https://doi.org/10.1186/s12913-022-07535-z,"BMC Health Services Research"
"1H NMR based urinary metabolites profiling dataset of canine mammary tumors",https://doi.org/10.1038/s41597-022-01229-1,"Scientific Data"
"Meniscal anterior and posterior horn heights are associated with MRI-defined knee structural abnormalities in middle-aged and elderly patients with symptomatic knee osteoarthritis",https://doi.org/10.1186/s12891-022-05143-w,"BMC Musculoskeletal Disorders"
"Response rate of anticancer drugs approved by the Food and Drug Administration based on a single-arm trial",https://doi.org/10.1186/s12885-022-09383-w,"BMC Cancer"
"Comparison of tumor and two types of paratumoral tissues highlighted epigenetic regulation of transcription during field cancerization in non-small cell lung cancer",https://doi.org/10.1186/s12920-022-01192-1,"BMC Medical Genomics"
"Rates of evolutionary change of resident Escherichia coli O157:H7 differ within the same ecological niche",https://doi.org/10.1186/s12864-022-08497-6,"BMC Genomics"
"Machine learning approaches to predict the 1-year-after-initial-AMI survival of elderly patients",https://doi.org/10.1186/s12911-022-01854-1,"BMC Medical Informatics and Decision Making"
"Validation of aortic valve pressure gradient quantification using semi-automated 4D flow CMR pipeline",https://doi.org/10.1186/s13104-022-06033-z,"BMC Research Notes"
"An annotated corpus of clinical trial publications supporting schema-based relational information extraction",https://doi.org/10.1186/s13326-022-00271-7,"Journal of Biomedical Semantics"
"Plant phenotype relationship corpus for biomedical relationships between plants and phenotypes",https://doi.org/10.1038/s41597-022-01350-1,"Scientific Data"
"Facilitating safety evaluation in maternal immunization trials: a retrospective cohort study to assess pregnancy outcomes and events of interest in low-risk pregnancies in England",https://doi.org/10.1186/s12884-022-04769-x,"BMC Pregnancy and Childbirth"
